TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 11       , 2       ,          ,         , BEGIN                    ,                
851                  , 851                 , 1        , 16       , 1       , 16       , 1       , CREATE                   ,                
873                  , 22                  , 1        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
931                  , 57                  , 1        , 16       , 1       , 16       , 1       , PREEMPTED                ,                
971                  , 40                  , 1        , 16       , 1       , 16       , 1       , RESTART ON SAME CPU      ,                
86418                , 15                  , 1        , 0        , 1       , 16       , 1       , CPU MIGRATION            ,                
86429                , 11                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
86518                , 89                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
86529                , 10                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
86858                , 329                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
86977                , 119                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
86989                , 11                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
87012                , 22                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
87094                , 82                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
87105                , 10                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
87348                , 242                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
87458                , 110                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
87475                , 17                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
87593                , 117                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
87759                , 165                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
87767                , 8                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
87964                , 197                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
88100                , 135                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
88117                , 17                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
125709               , 9                   , 1        , 0        , 1       , 16       , 1       , CPU MIGRATION            ,                
125716               , 6                   , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
125884               , 167                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
125907               , 22                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
126113               , 206                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
126259               , 145                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
126267               , 8                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
126300               , 33                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
126471               , 170                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
126494               , 22                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
126694               , 200                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
126854               , 159                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
126868               , 14                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
126903               , 35                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
127059               , 155                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
127075               , 15                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
127266               , 191                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
127396               , 130                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
127405               , 8                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
127463               , 58                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
127630               , 166                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
127652               , 22                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
127699               , 46                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
127881               , 182                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
127889               , 8                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
128043               , 153                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
128202               , 159                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
128220               , 18                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
128273               , 52                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
128460               , 187                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
