TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 26       , 2       ,          ,         , BEGIN                    ,                
801                  , 801                 , 1        , 5        , 1       , 5        , 1       , CREATE                   ,                
828                  , 26                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
857                  , 29                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
914                  , 57                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338991               , 454                 , 1        , 3        , 1       , 5        , 1       , CPU MIGRATION            ,                
339003               , 11                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
339034               , 31                  , 1        , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
339046               , 12                  , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
341046               , 1999                , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
341110               , 64                  , 1        , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
341121               , 10                  , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
341372               , 250                 , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
341419               , 47                  , 1        , 3        , 1       , 3        , 1       , SLEEPING ON              , shuttle        
341426               , 6                   , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
341466               , 39                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
341476               , 10                  , 1        , 3        , 1       , 3        , 1       , SLEEPING ON              , shuttle        
341482               , 5                   , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
341506               , 23                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
341546               , 40                  , 1        , 3        , 1       , 3        , 1       , EXIT                     ,                
1253                 , 339                 , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
1718                 , 464                 , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
1759                 , 40                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
1791                 , 32                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
1881                 , 89                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
1908                 , 26                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
1920                 , 11                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
1977                 , 57                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
337150               , 335173              , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
337169               , 18                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
337443               , 274                 , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
337496               , 52                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
337505               , 9                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
337683               , 177                 , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
337712               , 29                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
337723               , 10                  , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
337878               , 155                 , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
337929               , 50                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
337937               , 7                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
338136               , 199                 , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338182               , 45                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , shuttle        
338189               , 6                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
338253               , 64                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338265               , 12                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , shuttle        
338271               , 5                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
338291               , 19                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338301               , 10                  , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , shuttle        
338307               , 5                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
338326               , 18                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338334               , 7                   , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , shuttle        
338339               , 5                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
338357               , 18                  , 1        , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
338529               , 171                 , 1        , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
338536               , 7                   , 1        , 5        , 1       , 5        , 1       , PREEMPTED                ,                
341860               ,                     , 1        , 26       , 2       ,          ,         , END                      ,                
