TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 21       , 1       ,          ,         , BEGIN                    ,                
907                  , 907                 , 1        , 11       , 2       , 11       , 2       , CREATE                   ,                
928                  , 21                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
954                  , 25                  , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
1073                 , 119                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
1356                 , 283                 , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
1799                 , 442                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
1814                 , 15                  , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
1845                 , 30                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
1889                 , 43                  , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
1915                 , 25                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
1924                 , 9                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
1952                 , 27                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2082                 , 129                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
2103                 , 21                  , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2409                 , 305                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2434                 , 25                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
2441                 , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2513                 , 71                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2525                 , 12                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
2531                 , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2556                 , 25                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2600                 , 44                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
2609                 , 8                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2880                 , 271                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2896                 , 15                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
2902                 , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2930                 , 28                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
2940                 , 9                   , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
2945                 , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
2967                 , 22                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
3013                 , 45                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
3021                 , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
34978                , 31957               , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
35010                , 32                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
35016                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
35052                , 35                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
35062                , 10                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
35068                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
35092                , 24                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
35103                , 10                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
35108                , 4                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
35130                , 22                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
35139                , 9                   , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , shuttle        
35144                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
35166                , 21                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
53027                , 17860               , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
53035                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
53158                , 123                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
53219                , 60                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
53224                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
53389                , 164                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
53466                , 77                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
53472                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
53852                , 379                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
53956                , 103                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
53963                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
53971                , 8                   , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
54036                , 65                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
54043                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
54366                , 323                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
54439                , 72                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
54446                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
54500                , 54                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
54570                , 69                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
54576                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
54961                , 384                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
55065                , 104                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
55072                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
55080                , 8                   , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
55142                , 61                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
55148                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
55526                , 378                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
55612                , 86                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
55620                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
55641                , 20                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
55712                , 71                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
55718                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
55857                , 139                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
55921                , 64                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
55927                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
56262                , 334                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
56355                , 92                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
56362                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
56623                , 261                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
56689                , 66                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
56695                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
56748                , 52                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
56817                , 69                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
56823                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
57148                , 325                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
57224                , 75                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
57230                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
57303                , 72                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
57366                , 63                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
57372                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
57547                , 175                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
57628                , 81                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
57634                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
57867                , 232                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
57929                , 62                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
57935                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
58078                , 143                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
58142                , 63                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
58148                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
58480                , 332                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
58574                , 94                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
58581                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
58644                , 62                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
58707                , 63                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
58712                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
59087                , 374                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
59183                , 95                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
59190                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
59238                , 48                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
59303                , 64                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
59309                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
59659                , 349                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
59764                , 104                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
59771                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
59779                , 8                   , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
59843                , 63                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
59849                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
60228                , 378                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
60304                , 76                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
60311                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
60368                , 56                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
60436                , 67                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
60442                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
60795                , 353                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
60902                , 106                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
60909                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
60932                , 23                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
60999                , 66                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
61005                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
61336                , 331                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
61434                , 97                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
61441                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
61487                , 46                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
61553                , 65                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
61558                , 5                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
61971                , 413                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
62062                , 90                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
62069                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
62089                , 19                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
62156                , 67                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
62162                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
62494                , 331                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
62605                , 110                 , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
62612                , 7                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
62625                , 13                  , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
62692                , 67                  , 1        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
62699                , 6                   , 1        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
63038                , 339                 , 1        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
