   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 442546 437   23    0   0    0    0   0    0    0  3  0 97
   0    0 436247 576   11    0   0    0    0   0    0    0  7  0 93
   0    0 429033 419    5    0   0    0    0   0    0    0  3  0 97
   0    0 451600 441    4    0   0    0    0   0    0    0  3  0 96
   0    0 491777 482   20    0   0    0    0   0    0    0  3  0 97
   0    0 494414 487   20    0   0    0    0   0    0    0  2  0 98
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 447469 598   12    0   0    0    0   0    0    0  5  0 95
   0    0 456227 449    4    0   0    0    0   0    0    0  3  0 97
   0    0 459278 452    4    0   0    0    0   0    0    0  3  0 97
   0    0 473399 466   19    0   0    0    0   0    0    0  3  0 97
   0    0 475557 468   21    0   0    0    0   0    0    0  3  0 97
   0    0 418933 635    4    0   0    0    0   0    0    0  8  0 92
   0    0 496772 491    4    0   0    0    0   0    0    0  3  0 97
   0    0 510962 499   10    0   0    0    0   0    0    0  3  0 97
   0    0 510958 499   20    0   0    0    0   0    0    0  3  0 97
   0    0 493476 554   15    0   0    0    0   0    0    0  5  0 95
   0    0 458291 451    4    0   0    0    0   0    0    0  3  0 97
   0    0 449440 443    4    0   0    0    0   0    0    0  3  0 97
   0    0 490650 483   18    0   0    0    0   0    0    0  3  0 97
   0    0 479681 472   21    0   0    0    0   0    0    0  3  0 97
   0    0 471933 648   12    0   0    0    0   0    0    0  5  0 95
   0    0 440345 430    5    0   0    0    0   0    0    0  3  0 97
   0    0 452599 442    4    0   0    0    0   0    0    0  3  0 97
   0    0 444435 434   18    0   0    0    0   0    0    0  3  0 97
   0    0 364734 481   20    0   0    0    0   0    0    0  4  0 96
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 396512 390    5    0   0    0    0   0    0    0  7  0 93
   0    0 423167 421    5    0   0    0    0   0    0    0  3  0 97
   0    0 476503 469   20    0   0    0    0   0    0    0  3  0 97
   0    0 461355 454   22    0   0    0    0   0    0    0  2  0 98
   0    0 464002 510   12    0   0    0    0   0    0    0  3  0 97
   0    0 465572 458    4    0   0    0    0   0    0    0  3  0 97
   0    0 505888 494   20    0   0    0    0   0    0    0  3  0 97
   0    0 507372 501   20    0   0    0    0   0    0    0  3  0 97
   0    0 413931 551   17    0   0    0    0   0    0    0  2  0 98
   0    0 506815 512    4    0   0    0    0   0    0    0  4  0 96
   0    0 479140 478   21    0   0    0    0   0    0    0  5  0 95
   0    0 508879 497   20    0   0    0    0   0    0    0  5  0 95
   0    0 453767 444   22    0   0    0    0   0    0    0  4  0 96
   0    0 516718 505   20    0   0    0    0   0    0    0  0  0 100
   0    0 506632 539   18    0   0    0    0   0    0    0  0  0 100
   0    0 429085 574   16    0   0    0    0   0    0    0  7  0 93
   0    0 432506 425   23    0   0    0    0   0    0    0  4  0 96
   0    0 438003 435   23    0   0    0    0   0    0    0  4  0 96
   0    0 423438 415   24    0   0    0    0   0    0    0  4  0 96
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 479756 477   21    0   0    0    0   0    0    0  0  0 100
   0    0 432537 424   23    0   0    0    0   0    0    0  0  0 100
   0    0 416788 407   24    0   0    0    0   0    0    0  0  0 100
   0    0 444492 435   23    0   0    0    0   0    0    0  0  0 100
   0    0 493605 482   21    0   0    0    0   0    0    0  0  0 100
   0    0 433709 427   23    0   0    0    0   0    0    0  0  0 100
   0    0 471083 498   19    0   0    0    0   0    0    0  1  0 99
   0  557 33025 390    1    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0 128   1    2    0   0    0    0   0    0    0  2  0 97
   0    0   0   0    0    0   0    0    0   0    0    0  3  0 97
   0    0   0   0    0    0   0    0    0   0    0    0  3  0 97
   0    0 271651 277    7    0   0    0    0   0    0    0  6  0 94
   0    0 410545 404    5    0   0    0    0   0    0    0  3  0 97
   0    0 486675 478   12    0   0    0    0   0    0    0  3  0 96
   0    0 499706 488   20    0   0    0    0   0    0    0  3  0 97
   0    0 404429 576    4    0   0    0    0   0    0    0  7  0 93
   0    0 421092 494    4    0   0    0    0   0    0    0  3  0 97
   0    0 438266 428   16    0   0    0    0   0    0    0  3  0 97
   tty        sd0           sd1           sd2            cpu
